shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15JUNE-100413,220004,47.328004,-122.581385
15JUNE-100413,220005,47.327994,-122.580815
15JUNE-100413,220006,47.327994,-122.579895
15JUNE-100413,220007,47.327994,-122.579747
15JUNE-100413,230001,47.327994,-122.579747
15JUNE-100413,230002,47.327994,-122.578705
15JUNE-100413,230003,47.328144,-122.578665
15JUNE-100413,230004,47.328274,-122.578655
15JUNE-100413,230005,47.328554,-122.578675
15JUNE-100413,230006,47.328744,-122.578685
15JUNE-100413,230007,47.328814,-122.578685
15JUNE-100413,230008,47.328934,-122.578765
15JUNE-100413,230009,47.329004,-122.578825
15JUNE-100413,230010,47.329084,-122.578925
15JUNE-100413,230011,47.329174,-122.579125
15JUNE-100413,230012,47.329204,-122.579255
15JUNE-100413,230013,47.329214,-122.579395
15JUNE-100413,230014,47.329234,-122.579835
15JUNE-100413,230015,47.329254,-122.580065
15JUNE-100413,230016,47.329304,-122.580375
15JUNE-100413,230017,47.329334,-122.580605
15JUNE-100413,230018,47.329364,-122.580765
15JUNE-100413,230019,47.329404,-122.580855
15JUNE-100413,230020,47.329444,-122.580905
15JUNE-100413,230021,47.329684,-122.581125
15JUNE-100413,230022,47.330004,-122.581415
15JUNE-100413,230023,47.330699,-122.582035
15JUNE-100413,240001,47.330699,-122.582035
15JUNE-100413,240002,47.330744,-122.582075
15JUNE-100413,240003,47.330784,-122.582115
15JUNE-100413,240004,47.331284,-122.582555
15JUNE-100413,240005,47.331654,-122.582895
15JUNE-100413,240006,47.331754,-122.583015
15JUNE-100413,240007,47.331894,-122.583225
15JUNE-100413,240008,47.331974,-122.583395
15JUNE-100413,240009,47.332094,-122.583645
15JUNE-100413,240010,47.332434,-122.584325
15JUNE-100413,240011,47.332544,-122.584549
15JUNE-100413,250001,47.332544,-122.584549
15JUNE-100413,250002,47.333114,-122.585705
15JUNE-100413,250003,47.333164,-122.585805
15JUNE-100413,250004,47.333424,-122.586335
15JUNE-100413,250005,47.333574,-122.586665
15JUNE-100413,250006,47.333634,-122.586915
15JUNE-100413,250007,47.333644,-122.587165
15JUNE-100413,250008,47.333634,-122.587295
15JUNE-100413,250009,47.333594,-122.587545
15JUNE-100413,250010,47.333444,-122.588305
15JUNE-100413,250011,47.333424,-122.588555
15JUNE-100413,250012,47.333424,-122.588665
15JUNE-100413,250013,47.333444,-122.588785
15JUNE-100413,250014,47.333504,-122.588925
15JUNE-100413,250015,47.333624,-122.589095
15JUNE-100413,250016,47.333694,-122.589165
15JUNE-100413,250017,47.333794,-122.589235
15JUNE-100413,250018,47.333924,-122.589285
15JUNE-100413,250019,47.333971,-122.589283
15JUNE-100413,260001,47.333971,-122.589283
15JUNE-100413,260002,47.334204,-122.589275
15JUNE-100413,260003,47.334454,-122.589275
15JUNE-100413,260004,47.334694,-122.589325
15JUNE-100413,260005,47.334814,-122.589375
15JUNE-100413,260006,47.334944,-122.589465
15JUNE-100413,260007,47.335074,-122.589575
15JUNE-100413,260008,47.335234,-122.589775
15JUNE-100413,260009,47.335364,-122.589995
15JUNE-100413,260010,47.335424,-122.590135
15JUNE-100413,260011,47.335484,-122.590325
15JUNE-100413,260012,47.335744,-122.591345
15JUNE-100413,260013,47.335854,-122.591805
15JUNE-100413,260014,47.335944,-122.592115
15JUNE-100413,260015,47.336034,-122.592365
15JUNE-100413,260016,47.336134,-122.592575
15JUNE-100413,260017,47.336254,-122.592785
15JUNE-100413,260018,47.336324,-122.592895
15JUNE-100413,260019,47.336534,-122.593215
15JUNE-100413,260020,47.336599,-122.593319
15JUNE-100413,270001,47.336599,-122.593319
15JUNE-100413,270002,47.337124,-122.594165
15JUNE-100413,270003,47.337354,-122.593895
15JUNE-100413,270004,47.337574,-122.593695
15JUNE-100413,270005,47.337794,-122.593515
15JUNE-100413,270006,47.337924,-122.593365
15JUNE-100413,270007,47.337984,-122.593245
15JUNE-100413,270008,47.338004,-122.593155
15JUNE-100413,270009,47.338014,-122.593065
15JUNE-100413,270010,47.337994,-122.592875
15JUNE-100413,270011,47.337944,-122.592565
15JUNE-100413,270012,47.337944,-122.592385
15JUNE-100413,270013,47.337954,-122.592235
15JUNE-100413,270014,47.337994,-122.592035
15JUNE-100413,270015,47.338054,-122.591865
15JUNE-100413,270016,47.338224,-122.591525
15JUNE-100413,270017,47.338274,-122.591415
15JUNE-100413,270018,47.338594,-122.590885
15JUNE-100413,270019,47.338964,-122.590355
15JUNE-100413,270020,47.339294,-122.589875
15JUNE-100413,270021,47.339534,-122.589535
15JUNE-100413,270022,47.339568,-122.589495
15JUNE-100413,280001,47.339568,-122.589495
15JUNE-100413,280002,47.339684,-122.589355
15JUNE-100413,280003,47.339814,-122.589215
15JUNE-100413,280004,47.339984,-122.589055
15JUNE-100413,280005,47.340054,-122.589135
15JUNE-100413,280006,47.340114,-122.589185
15JUNE-100413,280007,47.340194,-122.589205
15JUNE-100413,280008,47.340554,-122.589205
15JUNE-100413,280009,47.342054,-122.589215
15JUNE-100413,280010,47.342334,-122.589215
15JUNE-100413,280011,47.342336,-122.589215
15JUNE-100413,290001,47.342336,-122.589215
15JUNE-100413,290002,47.343974,-122.589225
15JUNE-100413,290003,47.345364,-122.589215
15JUNE-100413,290004,47.345532,-122.589209
15JUNE-100413,300001,47.345532,-122.589209
15JUNE-100413,300002,47.345904,-122.589195
15JUNE-100413,300003,47.346634,-122.589205
15JUNE-100413,300004,47.347014,-122.589215
15JUNE-100413,300005,47.348064,-122.589215
15JUNE-100413,300006,47.348494,-122.589225
15JUNE-100413,300007,47.348934,-122.589225
15JUNE-100413,300008,47.349079,-122.589228
15JUNE-100413,310001,47.349079,-122.589228
15JUNE-100413,310002,47.349474,-122.589235
15JUNE-100413,310003,47.349774,-122.589235
15JUNE-100413,310004,47.350434,-122.589245
15JUNE-100413,310005,47.350587,-122.589247
15JUNE-100413,320001,47.350587,-122.589247
15JUNE-100413,320002,47.351274,-122.589255
15JUNE-100413,320003,47.351814,-122.589265
15JUNE-100413,320004,47.352584,-122.589265
15JUNE-100413,320005,47.353054,-122.589275
15JUNE-100413,320006,47.353534,-122.589275
15JUNE-100413,320007,47.353845,-122.589282
15JUNE-100413,330001,47.353845,-122.589282
15JUNE-100413,330002,47.354004,-122.589285
15JUNE-100413,330003,47.355154,-122.589285
15JUNE-100413,330004,47.356351,-122.589276
15JUNE-100413,340001,47.356351,-122.589276
15JUNE-100413,340002,47.356394,-122.589275
15JUNE-100413,340003,47.357454,-122.589295
15JUNE-100413,340004,47.357914,-122.589305
15JUNE-100413,340005,47.358614,-122.589315
15JUNE-100413,340006,47.359184,-122.589315
15JUNE-100413,340007,47.359304,-122.589325
15JUNE-100413,340008,47.359664,-122.589335
15JUNE-100413,340009,47.359804,-122.589345
15JUNE-100413,340010,47.359814,-122.589275
15JUNE-100413,340011,47.359854,-122.589225
15JUNE-100413,340012,47.359904,-122.589215
15JUNE-100413,340013,47.359944,-122.589235
15JUNE-100413,340014,47.359974,-122.589285
15JUNE-100413,340015,47.359984,-122.589345
15JUNE-100413,340016,47.359974,-122.589405
15JUNE-100413,340017,47.359934,-122.589465
15JUNE-100413,340018,47.359894,-122.589485
15JUNE-100413,340019,47.359884,-122.589755
15JUNE-100413,340020,47.359874,-122.590075
15JUNE-100413,340021,47.359854,-122.590325
15JUNE-100413,340022,47.359824,-122.590585
15JUNE-100413,340023,47.359764,-122.591225
15JUNE-100413,340024,47.359744,-122.591725
15JUNE-100413,340025,47.359724,-122.592625
15JUNE-100413,340026,47.359724,-122.593365
15JUNE-100413,340027,47.359734,-122.593915
15JUNE-100413,340028,47.359794,-122.595535
15JUNE-100413,340029,47.359874,-122.598015
15JUNE-100413,340030,47.359924,-122.599185
15JUNE-100413,340031,47.359944,-122.600145
15JUNE-100413,340032,47.359984,-122.601145
15JUNE-100413,340033,47.359984,-122.601275
15JUNE-100413,340034,47.360014,-122.601275
15JUNE-100413,340035,47.360064,-122.601315
15JUNE-100413,340036,47.360104,-122.601395
15JUNE-100413,340037,47.360114,-122.601485
15JUNE-100413,340038,47.360094,-122.601575
15JUNE-100413,340039,47.360054,-122.601655
15JUNE-100413,340040,47.360014,-122.601695
15JUNE-100413,340041,47.359984,-122.601705
15JUNE-100413,340042,47.359984,-122.601955
15JUNE-100413,340043,47.359964,-122.602805
15JUNE-100413,340044,47.359944,-122.603395
15JUNE-100413,340045,47.359904,-122.604535
15JUNE-100413,340046,47.359864,-122.604995
15JUNE-100413,340047,47.359844,-122.605145
15JUNE-100413,340048,47.359804,-122.605435
15JUNE-100413,340049,47.359734,-122.605795
15JUNE-100413,340050,47.359691,-122.605969
15JUNE-100413,350001,47.359691,-122.605969
15JUNE-100413,350002,47.359624,-122.606245
15JUNE-100413,350003,47.359684,-122.606285
15JUNE-100413,350004,47.359724,-122.606355
15JUNE-100413,350005,47.359734,-122.606445
15JUNE-100413,350006,47.359724,-122.606545
15JUNE-100413,350007,47.359694,-122.606615
15JUNE-100413,350008,47.359654,-122.606665
15JUNE-100413,350009,47.359594,-122.606685
15JUNE-100413,350010,47.359534,-122.606675
15JUNE-100413,350011,47.359484,-122.606625
15JUNE-100413,350012,47.359454,-122.606545
15JUNE-100413,350013,47.359454,-122.606465
15JUNE-100413,350014,47.359464,-122.606415
15JUNE-100413,350015,47.359474,-122.606355
15JUNE-100413,350016,47.359514,-122.606285
15JUNE-100413,350017,47.359564,-122.606245
15JUNE-100413,350018,47.359624,-122.606245
15JUNE-100413,350019,47.359734,-122.605795
15JUNE-100413,350020,47.359804,-122.605435
15JUNE-100413,350021,47.359844,-122.605145
15JUNE-100413,350022,47.359864,-122.604995
15JUNE-100413,350023,47.359904,-122.604535
15JUNE-100413,350024,47.359944,-122.603395
15JUNE-100413,350025,47.359964,-122.602805
15JUNE-100413,350026,47.359983,-122.602002
15JUNE-100413,360001,47.359983,-122.602002
15JUNE-100413,360002,47.359984,-122.601955
15JUNE-100413,360003,47.359984,-122.601705
15JUNE-100413,360004,47.359924,-122.601695
15JUNE-100413,360005,47.359884,-122.601655
15JUNE-100413,360006,47.359844,-122.601565
15JUNE-100413,360007,47.359844,-122.601485
15JUNE-100413,360008,47.359854,-122.601405
15JUNE-100413,360009,47.359884,-122.601335
15JUNE-100413,360010,47.359924,-122.601295
