trip_id,route_id,service_id,trip_headsign,block_id,shape_id
1738,9,1,Inbound,1201,69
1707,5,1,Inbound,6021,23
1286,35,2,Outbound,1011,20
288,7,2,Inbound,4101,0
1486,2,1,Inbound,6605,42
99,8,1,Outbound,4404,9
1059,14,3,Inbound,4402,75
362,8,2,Outbound,6203,9
491,29,1,Inbound,4405,57
2172,23,3,Outbound,9902,56
884,8,2,Outbound,4401,9
22,2,1,Outbound,6602,33
371,8,2,Inbound,4402,34
207,16,1,Outbound,6602,43
622,23,2,Inbound,9901,27
1158,16,2,Inbound,6605,19
2414,39,1,Inbound,9917,45
1283,35,2,Outbound,1012,20
27,2,1,Outbound,6602,33
2022,20,1,Outbound,9404,67
1511,2,1,Inbound,6603,42
2004,17,2,Inbound,6701,12
2367,14,2,Outbound,4402,48
1369,21,1,Outbound,9901,30
585,16,3,Outbound,6603,15
340,7,3,Inbound,4102,0
1699,5,1,Inbound,6001,23
1281,35,2,Outbound,1012,20
989,13,1,Inbound,4405,63
868,29,1,Inbound,4401,57
962,33,3,Inbound,6603,81
1752,9,2,Outbound,1202,18
1496,2,1,Inbound,4101,42
1508,2,1,Inbound,4103,42
2260,35,1,Outbound,1011,5
1411,1,1,Outbound,1201,35
1162,16,3,Outbound,6604,15
862,29,1,Outbound,4404,61
941,10,1,Inbound,6804,7
542,16,2,Outbound,6602,15
1924,15,1,Inbound,6402,58
360,8,2,Outbound,6204,9
2243,35,1,Outbound,1012,5
1816,12,1,Inbound,6001,46
535,16,1,Outbound,6604,43
236,1,3,Outbound,6401,35
1917,15,1,Inbound,6421,58
1539,2,2,Inbound,6401,42
400,10,2,Outbound,6002,29
1503,2,1,Inbound,6604,42
1834,12,3,Outbound,6003,21
336,7,3,Inbound,4102,0
1335,35,2,Inbound,1011,77
405,10,2,Outbound,6001,29
2384,18,3,Inbound,6802,28
219,16,1,Outbound,6601,43
2398,37,1,Outbound,9911,39
32,7,1,Outbound,4101,4
