trip_id,route_id,service_id,block_id,shape_id
2155,85,1,9904,11
751,46,2,3202,6
927,67,1,6406,63
334,40,1,9201,2
1091,57,1,403,16
240,57,1,404,0
564,88,2,7801,20
287,46,1,3201,5
363,49,1,7201,3
534,88,1,7801,20
1626,54,3,6501,24
2865,39,4,8001,1
808,59,1,3002,18
1619,54,3,6501,24
1454,45,1,2502,27
493,39,1,8001,35
3211,95,4,3802,10
2985,81,4,501,57
74,59,2,3003,18
2209,96,2,7102,17
2872,39,4,8002,1
797,59,1,3001,18
2069,96,1,7102,13
393,54,1,6501,24
1690,18,1,3702,15
148,54,2,6501,24
608,46,3,3202,6
1217,57,2,403,16
510,39,1,8003,1
2979,81,4,502,12
2885,39,4,8001,35
8,40,3,9201,2
489,39,1,8002,35
1806,96,3,7102,17
2956,81,4,502,60
1112,86,2,201,36
187,84,1,701,55
359,49,1,7201,3
167,54,2,6501,30
1455,45,1,2503,27
2323,89,1,1901,4
5,40,3,9201,2
2776,46,4,3202,6
336,40,1,9201,2
1835,18,2,3702,15
3167,67,4,6402,62
1274,57,3,404,0
1933,18,3,3702,15
2974,81,4,502,12
2347,57,4,406,0
3126,96,4,7101,13
1187,57,2,405,0
2665,82,4,302,29
1441,45,2,2502,27
1017,47,1,3901,44
280,46,1,3202,6
2932,54,4,6501,30
2188,96,2,7102,17
1854,18,2,3703,15
1364,82,1,301,29
471,83,1,4453,65
594,88,3,7801,20
1879,18,2,3704,9
2843,88,4,7801,20
3137,96,4,7102,13
1871,18,2,3704,9
2696,89,4,1901,22
832,59,1,3001,19
412,49,2,7201,3
1258,57,3,405,0
252,57,1,402,0
1121,84,2,701,53
1334,57,3,406,16
339,40,1,9202,2
196,84,1,702,55
3151,96,4,7103,13
3230,95,4,3801,10
2396,57,4,406,0
433,49,3,7201,3
1411,82,2,302,29
2275,18,1,3702,15
1554,40,1,9201,31
2421,57,4,406,16
586,88,2,7801,8
803,59,1,3004,18
1270,57,3,405,0
2122,81,1,553,48
407,54,1,6501,30
2922,54,4,6501,30
