block_seq_num,block_var_num,block_route_num,block_run_num
3919862-1,1,37,2
3919861-1,1,25,1
3919860-1,1,9,5
3919859-1,1,113,1
3919858-1,1,113,4
3919857-1,1,113,2
3919856-1,1,113,6
3919855-1,1,9,2
3919854-1,1,167,2
3919853-1,1,167,4
3919852-1,1,167,3
3919851-1,1,9,8
3919850-1,1,9,4
3919849-1,1,9,1
3919848-1,1,9,6
3919847-1,1,167,1
3919846-1,1,9,7
3912269-1,1,98,1
3912268-1,1,98,3
3912267-1,1,98,2
3912266-1,1,98,2
3912265-1,1,98,1
3912264-1,1,98,2
3912263-1,1,98,1
3912262-1,1,98,1
3912261-1,1,98,3
3912260-1,1,98,2
3912259-1,1,599,12
3912258-1,1,599,6
3912256-1,1,599,15
3912255-1,1,599,16
3912254-1,1,599,14
3912251-1,1,599,13
3912250-1,1,599,8
3912249-1,1,599,4
3912248-1,1,599,7
3912247-1,1,599,2
3912246-1,1,599,5
3912245-1,1,599,10
3912244-1,1,599,9
3912243-1,1,599,3
3912242-1,1,599,11
3912241-1,1,599,1
3912240-1,1,599,2
3912239-1,1,599,10
3912238-1,1,599,4
3912237-1,1,599,7
3912236-1,1,599,5
3912235-1,1,599,9
3912234-1,1,599,3
3912233-1,1,599,8
3912232-1,1,599,1
3912231-1,1,599,6
3912230-1,1,599,6
3912229-1,1,599,1
3912228-1,1,599,7
3912227-1,1,599,10
3912226-1,1,599,8
3912225-1,1,599,2
3912224-1,1,599,5
3912223-1,1,599,4
3912222-1,1,599,9
3912221-1,1,599,3
3908052-1,1,71,9
3908051-1,1,71,12
3908050-1,1,41,6
3908049-1,1,331,9
3908048-1,1,71,6
3908047-1,1,71,8
3908046-1,1,331,1
3908045-1,1,331,8
3908044-1,1,331,6
3908043-1,1,331,7
3908042-1,1,331,5
3908041-1,1,331,4
3908040-1,1,331,3
3908039-1,1,331,2
3908038-1,1,71,5
3908037-1,1,41,3
3908036-1,1,71,3
3908035-1,1,71,4
3908034-1,1,41,5
3908033-1,1,41,4
3908032-1,1,71,7
3908031-1,1,41,2
3908030-1,1,71,11
3908029-1,1,41,1
3908028-1,1,71,2
3908027-1,1,71,10
3908026-1,1,41,7
3908025-1,1,71,1
3908024-1,1,41,8
3908023-1,1,66,1
3908022-1,1,66,3
3908021-1,1,66,4
3908020-1,1,32,5
3908019-1,1,32,6
3908018-1,1,32,3
3908017-1,1,32,2
3908016-1,1,32,4
3908015-1,1,32,1
3908014-1,1,65,3
3908013-1,1,65,4
3908012-1,1,65,1
3908011-1,1,65,2
3908010-1,1,66,2
3907966-1,1,71,17
3907965-1,1,71,15
3907964-1,1,31,10
3907963-1,1,31,7
3907962-1,1,346,7
3907961-1,1,71,18
3907960-1,1,41,7
3907959-1,1,31,8
3907958-1,1,31,9
3907957-1,1,41,8
3907956-1,1,71,13
3907955-1,1,71,16
3907954-1,1,71,14
3907953-1,1,68,1
3907952-1,1,68,3
3907951-1,1,68,2
3907950-1,1,346,5
3907949-1,1,66,5
3907948-1,1,31,11
3907947-1,1,71,6
3907946-1,1,41,6
3907945-1,1,71,1
3907944-1,1,71,12
3907943-1,1,41,3
3907942-1,1,71,5
3907941-1,1,41,4
3907940-1,1,71,3
3907939-1,1,71,2
3907938-1,1,41,1
3907937-1,1,41,5
3907936-1,1,71,7
3907935-1,1,71,10
3907934-1,1,71,8
3907933-1,1,71,4
3907932-1,1,71,11
3907931-1,1,41,2
3907930-1,1,71,9
3907929-1,1,66,4
3907928-1,1,31,6
3907927-1,1,31,5
3907926-1,1,31,4
3907925-1,1,31,3
3907924-1,1,31,2
3907923-1,1,32,6
3907922-1,1,32,5
3907921-1,1,31,1
3907920-1,1,32,4
3907919-1,1,32,2
3907918-1,1,32,3
3907917-1,1,32,1
3907916-1,1,66,1
3907915-1,1,66,3
3907914-1,1,66,2
3907913-1,1,331,8
3907912-1,1,331,2
3907911-1,1,331,4
3907910-1,1,331,5
3907909-1,1,331,3
3907908-1,1,331,1
3907907-1,1,346,3
3907906-1,1,346,4
3907905-1,1,346,1
3907904-1,1,331,7
3907903-1,1,346,2
3907902-1,1,331,6
3907901-1,1,346,6
3902499-1,1,40,8
3902498-1,1,673,15
3902497-1,1,675,11
3902496-1,1,48,7
3902495-1,1,673,14
3902494-1,1,40,7
3902493-1,1,675,10
3902492-1,1,675,9
3902491-1,1,675,7
3902490-1,1,675,5
3902489-1,1,675,6
3902488-1,1,673,17
3902487-1,1,673,16
3902486-1,1,673,13
3902485-1,1,673,12
3902484-1,1,673,11
3902483-1,1,673,10
3902482-1,1,673,9
3902481-1,1,673,8
3902480-1,1,673,7
3902479-1,1,673,6
3902478-1,1,673,5
3902477-1,1,673,4
3902476-1,1,673,3
3902475-1,1,673,2
3902474-1,1,673,1
3902473-1,1,60,1
3902472-1,1,60,2
3902471-1,1,60,5
3902470-1,1,60,4
3902469-1,1,60,3
3902468-1,1,48,8
3902467-1,1,40,3
3902466-1,1,40,4
3902465-1,1,48,1
3902464-1,1,48,6
3902463-1,1,48,4
3902462-1,1,48,5
3902461-1,1,48,3
3902460-1,1,48,2
3902459-1,1,5,10
3902458-1,1,675,13
3902457-1,1,675,12
3902456-1,1,675,8
3902455-1,1,675,4
3902454-1,1,675,3
3902453-1,1,675,2
3902452-1,1,675,1
3902451-1,1,5,9
3902450-1,1,5,8
3902449-1,1,5,1
3902448-1,1,5,3
3902447-1,1,5,6
3902446-1,1,5,4
3902445-1,1,5,7
3902444-1,1,5,2
3902443-1,1,5,5
3902442-1,1,40,6
3902441-1,1,40,2
3902440-1,1,40,5
3902439-1,1,40,1
3902375-1,1,673,12
3902374-1,1,673,10
3902373-1,1,675,13
3902372-1,1,675,14
3902371-1,1,675,10
3902370-1,1,675,8
3902369-1,1,675,7
3902368-1,1,675,9
3902367-1,1,673,19
3902366-1,1,673,18
3902365-1,1,673,17
3902364-1,1,673,16
3902363-1,1,673,15
3902362-1,1,673,14
3902361-1,1,673,13
3902360-1,1,673,11
3902359-1,1,673,9
3902358-1,1,673,8
3902357-1,1,673,7
3902356-1,1,673,6
3902355-1,1,673,5
3902354-1,1,673,4
3902353-1,1,673,3
3902352-1,1,673,2
3902351-1,1,673,1
3902350-1,1,60,1
3902349-1,1,60,2
3902348-1,1,60,6
3902347-1,1,60,5
3902346-1,1,60,4
3902345-1,1,60,3
3902344-1,1,48,11
3902343-1,1,48,10
3902342-1,1,5,16
3902341-1,1,40,13
3902340-1,1,40,14
3902339-1,1,40,11
3902338-1,1,40,12
3902337-1,1,40,9
3902336-1,1,40,10
3902335-1,1,40,7
3902334-1,1,40,8
3902333-1,1,40,6
3902332-1,1,40,4
3902331-1,1,40,5
3902330-1,1,40,2
3902329-1,1,40,3
3902328-1,1,40,1
3902327-1,1,48,9
3902326-1,1,48,8
3902325-1,1,48,7
3902324-1,1,48,6
3902323-1,1,48,5
3902322-1,1,48,4
3902321-1,1,48,3
3902320-1,1,48,2
3902319-1,1,48,1
3902318-1,1,675,16
3902317-1,1,675,15
3902316-1,1,675,12
3902315-1,1,675,11
3902314-1,1,675,6
3902313-1,1,675,5
3902312-1,1,675,4
3902311-1,1,675,3
3902310-1,1,675,2
3902309-1,1,675,1
3902308-1,1,5,13
3902307-1,1,5,2
3902306-1,1,5,4
3902305-1,1,5,5
3902304-1,1,5,6
3902303-1,1,5,7
3902302-1,1,5,9
3902301-1,1,5,8
3902300-1,1,5,10
3902299-1,1,5,11
3902298-1,1,5,12
3902297-1,1,5,14
3902296-1,1,5,15
3902295-1,1,5,1
3902294-1,1,5,3
3902209-1,1,48,31
3902208-1,1,15,4
3902207-1,1,673,38
3902206-1,1,673,37
3902205-1,1,673,36
3902204-1,1,673,35
3902203-1,1,673,34
3902202-1,1,673,33
3902201-1,1,673,32
3902200-1,1,673,31
3902199-1,1,673,30
3902198-1,1,673,29
3902197-1,1,673,28
3902196-1,1,673,27
3902195-1,1,673,26
3902194-1,1,673,25
3902193-1,1,673,24
3902192-1,1,673,23
3902191-1,1,673,22
3902190-1,1,673,21
3902189-1,1,673,20
3902188-1,1,673,19
3902187-1,1,673,18
3902186-1,1,673,17
3902185-1,1,673,16
3902184-1,1,673,15
3902183-1,1,673,14
3902182-1,1,673,13
3902181-1,1,673,12
3902180-1,1,673,11
3902179-1,1,673,10
3902178-1,1,673,9
3902177-1,1,673,8
3902176-1,1,673,7
3902175-1,1,673,6
3902174-1,1,673,5
3902173-1,1,673,4
3902172-1,1,673,3
3902171-1,1,673,2
3902170-1,1,673,1
3902169-1,1,17,10
3902168-1,1,40,19
3902167-1,1,40,30
3902166-1,1,15,3
3902165-2,2,60,12
3902165-1,1,60,12
3902164-1,1,60,11
3902163-1,1,60,10
3902162-1,1,60,9
3902161-1,1,60,8
3902160-1,1,60,7
3902159-1,1,60,6
3902158-1,1,60,5
3902157-1,1,60,4
3902156-1,1,60,3
3902155-1,1,60,2
3902154-1,1,60,1
3902153-1,1,5,22
3902152-1,1,17,4
3902151-1,1,48,23
3902150-1,1,48,16
3902149-1,1,55,15
3902148-1,1,5,30
3902147-1,1,5,29
3902146-1,1,5,28
3902145-1,1,5,25
3902144-1,1,5,20
3902143-1,1,48,13
3902142-1,1,5,17
3902141-1,1,40,34
3902140-1,1,40,31
3902139-1,1,40,32
3902138-1,1,40,28
3902137-1,1,40,29
3902136-1,1,40,27
3902135-1,1,40,26
3902134-1,1,40,25
3902133-1,1,40,24
3902132-1,1,40,23
3902131-1,1,40,21
3902130-1,1,40,22
3902129-1,1,40,20
3902128-1,1,40,18
3902127-1,1,40,15
3902126-1,1,40,14
3902125-1,1,40,17
3902124-1,1,40,12
3902123-1,1,40,16
3902122-1,1,40,11
3902121-1,1,40,10
3902120-1,1,40,13
3902119-1,1,40,8
3902118-1,1,40,6
3902117-1,1,40,9
3902116-1,1,40,5
3902115-1,1,40,7
3902114-1,1,40,4
3902113-1,1,40,2
3902112-1,1,40,3
3902111-1,1,40,1
3902110-1,1,40,33
3902109-1,1,40,35
3902108-1,1,355,17
3902107-1,1,21,10
3902106-1,1,55,10
3902105-1,1,55,1
3902104-1,1,18,14
3902103-1,1,57,3
